,Team,Total Shifts_sum,Total Shifts_mean,Total Shifts_std,Total Shifts_min,Total Shifts_max,ED Day 1 Shifts_sum,ED Day 1 Shifts_mean,ED Day 2 Shifts_sum,ED Day 2 Shifts_mean,ED Night Shifts_sum,ED Night Shifts_mean,Compliance
0,A,34,17.0,0.0,17,17,0,0.0,9,4.5,25,12.5,Max 1 nurse per team per day (enforced by constraint)
1,B,49,16.333333333333332,0.5773502691896263,16,17,15,5.0,16,5.333333333333333,18,6.0,Max 1 nurse per team per day (enforced by constraint)
2,C,34,17.0,0.0,17,17,15,7.5,15,7.5,4,2.0,Max 1 nurse per team per day (enforced by constraint)
3,D,34,17.0,0.0,17,17,16,8.0,12,6.0,6,3.0,Max 1 nurse per team per day (enforced by constraint)
4,E,17,17.0,0.0,17,17,10,10.0,4,4.0,3,3.0,Max 1 nurse per team per day (enforced by constraint)
